scientific.name,common.name,iconic.taxon.name,groups,observed.on,place.guess,positional.accuracy,user.login,user.id,captive.cultivated,url,image.url,license,source,checklist,count,longitude,latitude
Branta canadensis,canada goose,Aves,Birds,2023-03-08,"Winter Harbor, ME 04693, USA",1551,cvschmitt,256926,false,https://www.inaturalist.org/observations/150610428,https://inaturalist-open-data.s3.amazonaws.com/photos/259734854/medium.jpeg,CC-BY-NC,iNaturalist,NA,1,-68.0558791012,44.3368984503
Branta canadensis,canada goose,Aves,Birds,2023-03-10,Acadia NP--Blueberry Hill,NA,NA,NA,NA,https://ebird.org/checklist/S130596925,NA,NA,eBird,S130596925,2,-68.0454782,44.3386398
Branta canadensis,canada goose,Aves,Birds,2023-03-07,Acadia NP--Frazer Point,NA,NA,NA,NA,https://ebird.org/checklist/S130378878,NA,NA,eBird,S130378878,3,-68.0752723,44.3754377
Pteridium aquilinum,common bracken,Plantae,Plants,2023-03-05,"Acadia National Park, Ocean Drive",NA,carol-in-maine,14060,false,https://www.inaturalist.org/observations/150446875,https://inaturalist-open-data.s3.amazonaws.com/photos/259421266/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-68.185267,44.327395
Somateria mollissima,common eider,Aves,Birds,2023-03-10,Acadia NP--Seawall Picnic Area,NA,NA,NA,NA,https://ebird.org/checklist/S130603594,NA,NA,eBird,S130603594,10,-68.3025,44.2373
Somateria mollissima,common eider,Aves,Birds,2023-03-10,Acadia NP--Blueberry Hill,NA,NA,NA,NA,https://ebird.org/checklist/S130596925,NA,NA,eBird,S130596925,2,-68.0454782,44.3386398
Somateria mollissima,common eider,Aves,Birds,2023-03-10,Acadia NP--Schoodic Point,NA,NA,NA,NA,https://ebird.org/checklist/S130592164,NA,NA,eBird,S130592164,2,-68.0603456,44.3324746
Somateria mollissima,common eider,Aves,Birds,2023-03-09,Acadia NP--Ocean Drive,NA,NA,NA,NA,https://ebird.org/checklist/S130539575,NA,NA,eBird,S130539575,1,-68.1873536,44.3231322
Somateria mollissima,common eider,Aves,Birds,2023-03-07,Acadia NP--Seawall Pond,NA,NA,NA,NA,https://ebird.org/checklist/S130394236,NA,NA,eBird,S130394236,4,-68.299427,44.2426166
Somateria mollissima,common eider,Aves,Birds,2023-03-07,"Acadia National Park, Birch Harbor US-ME 44.36653, -68.07630",NA,NA,NA,NA,https://ebird.org/checklist/S130380512,NA,NA,eBird,S130380512,3,-68.076304,44.366531
Somateria mollissima,common eider,Aves,Birds,2023-03-05,Acadia NP - Buck Cove,NA,NA,NA,NA,https://ebird.org/checklist/S130298792,NA,NA,eBird,S130298792,4,-68.0469131,44.359574
Bucephala clangula,common goldeneye,Aves,Birds,2023-03-10,Acadia NP--East Schoodic Drive ,NA,NA,NA,NA,https://ebird.org/checklist/S130602437,NA,NA,eBird,S130602437,2,-68.0390396,44.3625954
Bucephala clangula,common goldeneye,Aves,Birds,2023-03-10,Acadia NP—greater Buck Cove,NA,NA,NA,NA,https://ebird.org/checklist/S130601312,NA,NA,eBird,S130601312,4,-68.04231,44.361568
Bucephala clangula,common goldeneye,Aves,Birds,2023-03-08,Acadia NP--Seawall Picnic Area,NA,NA,NA,NA,https://ebird.org/checklist/S130473830,NA,NA,eBird,S130473830,1,-68.3025,44.2373
Bucephala clangula,common goldeneye,Aves,Birds,2023-03-06,Acadia NP--Schoodic Point,NA,NA,NA,NA,https://ebird.org/checklist/S130348210,NA,NA,eBird,S130348210,11,-68.0603456,44.3324746
Bucephala clangula,common goldeneye,Aves,Birds,2023-03-05,Acadia NP - Buck Cove,NA,NA,NA,NA,https://ebird.org/checklist/S130298792,NA,NA,eBird,S130298792,1,-68.0469131,44.359574
Bucephala clangula,common goldeneye,Aves,Birds,2023-03-05,Acadia NP--Blueberry Hill,NA,NA,NA,NA,https://ebird.org/checklist/S130298705,NA,NA,eBird,S130298705,2,-68.0454782,44.3386398
Gavia immer,common loon,Aves,Birds,2023-03-10,Acadia NP--Seawall Picnic Area,NA,NA,NA,NA,https://ebird.org/checklist/S130603594,NA,NA,eBird,S130603594,1,-68.3025,44.2373
Gavia immer,common loon,Aves,Birds,2023-03-10,Acadia NP—greater Buck Cove,NA,NA,NA,NA,https://ebird.org/checklist/S130601312,NA,NA,eBird,S130601312,1,-68.04231,44.361568
